Time	Lead II
4.07	0.0751708
4.08	0.0893631
4.09	0.145974
4.1	0.138917
4.11	0.148476
4.12	0.192016
4.13	0.18082
4.14	0.259911
4.15	0.244
4.16	0.167197
4.17	0.207101
4.18	0.0820425
4.19	-0.0225349
4.2	-0.0207541
4.21	-0.019682
4.22	-0.0470914
4.23	-0.167091
4.24	-0.172359
4.25	0.00882265
4.26	0.456975
4.27	0.797131
4.28	0.513529
4.29	0.0248164
4.3	-0.29218
4.31	-0.380938
4.32	-0.390205
4.33	-0.408362
4.34	-0.340694
4.35	-0.383726
4.36	-0.446178
4.37	-0.402516
4.38	-0.394504
4.39	-0.420673
4.4	-0.458862
4.41	-0.483681
4.42	-0.412256
4.43	-0.452497
4.44	-0.446402
4.45	-0.431497
4.46	-0.368697
4.47	-0.327872
4.48	-0.403078
4.49	-0.267226
4.5	-0.13701
4.51	-0.154312
4.52	-0.0914004
4.53	0.026129
4.54	0.111952
4.55	0.046439
4.56	0.1043
4.57	0.30526
4.58	0.25611
4.59	0.175881
4.6	0.104828
4.61	0.0689282
4.62	0.0684258
4.63	-0.000865446
4.64	0.0828697
4.65	0.0326814
4.66	0.0581976
4.67	0.503839
4.68	0.992166
4.69	0.991439
4.7	0.616509
4.71	0.27394
4.72	0.135881
4.73	0.0679791
4.74	0.133955
4.75	0.165348
4.76	0.114105
4.77	0.0731603
4.78	-0.0274954
4.79	-0.00155932
4.8	0.0640756
4.81	0.041239
4.82	-0.0116675
4.83	-0.128058
4.84	-0.125935
4.85	-0.0861253
4.86	-0.0974098
4.87	-0.1707
4.88	-0.248691
4.89	-0.164436
4.9	-0.0727414
4.91	-0.0948378
4.92	-0.102297
4.93	-0.0473168
4.94	0.0108643
4.95	0.0312164
4.96	0.0945971
4.97	0.110522
4.98	0.0279272
4.99	0.0829666
5	0.116537
5.01	0.0659424
5.02	-0.0157904
5.03	-0.107603
5.04	-0.0696916
5.05	-0.060762
5.06	-0.108367
5.07	-0.105446
5.08	0.07333
5.09	0.633548
5.1	0.890589
5.11	0.570929
5.12	0.163231
5.13	-0.0622133
5.14	-0.111953
5.15	-0.160444
5.16	-0.171083
5.17	-0.0730389
5.18	-0.0871418
5.19	-0.147234
5.2	-0.139285
5.21	-0.0530469
5.22	-0.0400103
5.23	-0.130071
5.24	-0.115002
5.25	-0.0458756
5.26	-0.0447677
5.27	-0.0477662
5.28	-0.0612424
5.29	0.00200286
5.3	-0.00508935
5.31	-0.0330884
5.32	-0.0051877
5.33	0.0760708
5.34	0.218728
5.35	0.301688
5.36	0.311696
5.37	0.279723
5.38	0.278764
5.39	0.364735
5.4	0.314552
5.41	0.24987
5.42	0.221966
5.43	0.112561
5.44	0.055787
5.45	-0.00820805
5.46	-0.108425
5.47	-0.167699
5.48	-0.175605
5.49	0.158912
5.5	0.662453
5.51	0.715154
5.52	0.329948
5.53	0.00230159
5.54	-0.0692624
5.55	-0.1501
5.56	-0.216808
5.57	-0.188811
5.58	-0.239135
5.59	-0.176893
5.6	-0.151525
5.61	-0.173139
5.62	-0.171745
5.63	-0.193383
5.64	-0.188291
5.65	-0.219791
5.66	-0.265209
5.67	-0.284095
5.68	-0.258238
5.69	-0.236195
5.7	-0.258572
5.71	-0.223305
5.72	-0.0773873
5.73	-0.0333736
5.74	0.0207104
5.75	0.0535712
5.76	0.121559
5.77	0.180988
5.78	0.187493
5.79	0.291763
5.8	0.306429
5.81	0.246092
5.82	0.211403
5.83	0.141924
5.84	0.0403943
5.85	-0.0596799
5.86	-0.0587314
5.87	0.00627397
5.88	-0.080774
5.89	0.00960559
5.9	0.394643
5.91	0.779912
5.92	0.663453
5.93	0.260396
5.94	0.0413736
5.95	-0.147335
5.96	-0.262132
5.97	-0.223784
5.98	-0.238689
5.99	-0.238985
6	-0.289014
6.01	-0.269154
6.02	-0.179566
6.03	-0.192069
6.04	-0.183249
6.05	-0.201467
6.06	-0.221442
6.07	-0.193684
6.08	-0.177405
6.09	-0.153492
6.1	-0.192693
6.11	-0.167772
6.12	-0.0672067
6.13	-0.051038
6.14	0.0237097
6.15	0.0445839
6.16	0.101509
6.17	0.169377
6.18	0.170274
6.19	0.267247
6.2	0.317741
6.21	0.307388
6.22	0.268871
6.23	0.161713
6.24	0.124221
6.25	0.0431389
6.26	-0.0324526
6.27	-0.0194143
6.28	-0.149296
6.29	-0.157099
6.3	0.0159641
6.31	0.480286
6.32	0.843746
6.33	0.636603
6.34	0.290777
6.35	-0.0347018
6.36	-0.22776
6.37	-0.258662
6.38	-0.202018
6.39	-0.122132
6.4	-0.179599
6.41	-0.24086
6.42	-0.254979
6.43	-0.231149
6.44	-0.189465
6.45	-0.241291
6.46	-0.290332
6.47	-0.290346
6.48	-0.32137
6.49	-0.299166
6.5	-0.319489
6.51	-0.280667
6.52	-0.164084
6.53	-0.147484
6.54	-0.0950426
6.55	-0.0175484
6.56	0.0161592
6.57	0.0361338
6.58	0.048718
6.59	0.140265
6.6	0.17013
6.61	0.182895
6.62	0.177147
6.63	0.136839
6.64	0.111744
6.65	-0.00902162
6.66	-0.0751524
6.67	-0.0983895
6.68	-0.124137
6.69	-0.104606
6.7	-0.142628
6.71	0.0907663
6.72	0.627438
6.73	0.817563
6.74	0.543221
6.75	0.170706
6.76	-0.0604775
6.77	-0.112732
6.78	-0.129815
6.79	-0.0682422
6.8	-0.0746829
6.81	-0.0762989
6.82	-0.0674609
6.83	-0.0697991
6.84	0.00328265
6.85	-0.0367354
6.86	-0.0525398
6.87	-0.0571241
6.88	-0.0905175
6.89	-0.0675695
6.9	-0.096405
6.91	-0.108143
6.92	-0.0593688
6.93	-0.00881971
6.94	0.0693231
6.95	0.0675826
6.96	0.0905276
6.97	0.141751
6.98	0.112724
6.99	0.115806
7	0.101086
7.01	0.154993
7.02	0.17935
7.03	0.155748
7.04	0.130037
7.05	0.0141641
7.06	-0.0755348
7.07	-0.148471
7.08	-0.239647
7.09	-0.246445
7.1	-0.266555
7.11	-0.277092
7.12	-0.163052
7.13	0.273768
7.14	0.703599
7.15	0.4758
7.16	0.0507197
7.17	-0.181588
7.18	-0.288627
7.19	-0.263559
7.2	-0.267899
7.21	-0.262437
7.22	-0.215683
7.23	-0.187283
7.24	-0.141401
7.25	-0.205609
7.26	-0.214877
7.27	-0.145003
7.28	-0.111693
7.29	-0.0904941
7.3	-0.149964
7.31	-0.145517
7.32	-0.0712465
7.33	-0.0974899
7.34	-0.0433744
7.35	0.0450575
7.36	0.129716
7.37	0.158297
7.38	0.154184
7.39	0.211838
7.4	0.188843
7.41	0.205748
7.42	0.296212
7.43	0.282367
7.44	0.287824
7.45	0.256155
7.46	0.269888
7.47	0.215905
7.48	0.0630976
7.49	0.0290703
7.5	-0.0219308
7.51	-0.0471349
7.52	-0.0916637
7.53	-0.202035
7.54	0.00475252
7.55	0.471914
7.56	0.801302
7.57	0.584994
7.58	0.161955
7.59	-0.0740896
7.6	-0.181636
7.61	-0.209753
7.62	-0.213562
7.63	-0.257165
7.64	-0.230658
7.65	-0.217653
7.66	-0.20564
7.67	-0.186556
7.68	-0.225105
7.69	-0.185925
7.7	-0.185909
7.71	-0.199886
7.72	-0.221837
7.73	-0.222633
7.74	-0.145511
7.75	-0.154387
7.76	-0.106726
7.77	-0.00894494
7.78	0.00965069
7.79	0.0483207
7.8	0.00998565
7.81	0.0735636
7.82	0.121544
7.83	0.0534595
7.84	0.0385531
7.85	0.0579219
7.86	0.130122
