Time	Lead II
3.93	-0.0262008
3.94	-0.0355078
3.95	-0.0752198
3.96	-0.00362627
3.97	-0.0622051
3.98	-0.0152254
3.99	-0.0113869
4	-0.0541185
4.01	0.00121065
4.02	-0.0621088
4.03	-0.0181158
4.04	-0.0203666
4.05	-0.0578197
4.06	0.000373677
4.07	-0.066988
4.08	-0.023235
4.09	-0.0299277
4.1	-0.068884
4.11	-0.0164364
4.12	-0.0789514
4.13	-0.0254469
4.14	-0.0324536
4.15	-0.0749457
4.16	-0.0157094
4.17	-0.0760653
4.18	-0.036122
4.19	-0.0437875
4.2	-0.0838218
4.21	-0.0209974
4.22	-0.0694008
4.23	-0.0217206
4.24	-0.0308632
4.25	-0.0644509
4.26	-0.00515243
4.27	-0.0656061
4.28	0.00152549
4.29	0.0212123
4.3	0.012036
4.31	0.0797065
4.32	0.00833846
4.33	0.0427959
4.34	0.00677682
4.35	-0.0553357
4.36	-0.0245314
4.37	-0.0998678
4.38	-0.0518855
4.39	-0.0386284
4.4	0.0606283
4.41	0.322266
4.42	0.332551
4.43	0.208198
4.44	-0.048647
4.45	-0.179494
4.46	-0.0935953
4.47	-0.105654
4.48	-0.0248466
4.49	-0.0243526
4.5	-0.0468691
4.51	0.00930272
4.52	-0.056942
4.53	-0.00268802
4.54	-0.00554661
4.55	-0.0211715
4.56	0.0350536
4.57	-0.0341337
4.58	-0.0529265
4.59	-0.00327449
4.6	0.0114263
4.61	0.118469
4.62	0.0838545
4.63	0.137546
4.64	0.165733
4.65	0.139402
4.66	0.212324
4.67	0.155729
4.68	0.175862
4.69	0.14099
4.7	0.052924
4.71	0.08016
4.72	-0.00401927
4.73	0.0132165
4.74	-0.00837791
4.75	-0.0620979
4.76	0.00518688
4.77	-0.0586082
4.78	-0.0307735
4.79	-0.0343688
4.8	-0.083829
4.81	-0.0234753
4.82	-0.0818789
4.83	-0.0430293
4.84	-0.0358073
4.85	-0.0677337
4.86	0.00596754
4.87	-0.0509541
4.88	-0.0164762
4.89	-0.0220364
4.9	-0.0615187
4.91	0.010166
4.92	-0.0444571
4.93	-0.00633329
4.94	-0.0152474
4.95	-0.0624748
4.96	-0.0054208
4.97	-0.0646652
4.98	-0.0226646
4.99	-0.0206684
5	-0.0536097
5.01	0.0088654
5.02	-0.0622959
5.03	-0.029257
5.04	-0.0323666
5.05	-0.0652855
5.06	-0.003542
5.07	-0.0663708
5.08	-0.0233454
5.09	-0.0221311
5.1	-0.0604402
5.11	-0.0116691
5.12	-0.0797698
5.13	-0.0267685
5.14	-0.0209137
5.15	-0.0422681
5.16	0.0305781
5.17	-0.0221739
5.18	0.0484639
5.19	0.0637417
5.2	0.0200531
5.21	0.0498178
5.22	-0.046192
5.23	-0.0288371
5.24	-0.0595204
5.25	-0.102249
5.26	-0.0394985
5.27	-0.0379868
5.28	0.191815
5.29	0.37506
5.3	0.310936
5.31	0.12008
5.32	-0.149048
5.33	-0.143751
5.34	-0.108332
5.35	-0.098213
5.36	-0.0247295
5.37	-0.0716978
5.38	-0.0144725
5.39	-0.0307551
5.4	-0.0578128
5.41	0.000197611
5.42	-0.0582584
5.43	-0.00201545
5.44	-0.00809664
5.45	-0.023102
5.46	0.0563529
5.47	0.142165
5.48	0.19906
5.49	0.151086
5.5	0.0749606
5.51	0.149297
5.52	0.120674
5.53	0.174983
5.54	0.184826
5.55	0.124654
5.56	0.166269
5.57	0.0717661
5.58	0.0658618
5.59	0.0401718
5.6	-0.0287437
5.61	0.0108299
5.62	-0.0609074
5.63	-0.0347262
5.64	-0.0384491
5.65	-0.0784903
5.66	-0.0147233
5.67	-0.0710459
5.68	-0.0358678
5.69	-0.0421187
5.7	-0.0877267
5.71	-0.0240667
5.72	-0.085262
5.73	-0.0553518
5.74	-0.0507672
5.75	-0.0774003
5.76	-0.00207351
5.77	-0.0626181
5.78	-0.0315783
5.79	-0.0389696
5.8	-0.080737
5.81	-0.0146218
5.82	-0.0749338
5.83	-0.0355005
5.84	-0.0376405
5.85	-0.084195
5.86	-0.0323482
5.87	-0.0965179
5.88	-0.0551476
5.89	-0.0626927
5.9	-0.104032
5.91	-0.0394353
5.92	-0.0972617
5.93	-0.0475736
5.94	-0.0466131
5.95	-0.0821853
5.96	-0.0209008
5.97	-0.0918154
5.98	-0.059216
5.99	-0.0639936
6	-0.0983843
6.01	-0.0358929
6.02	-0.0865522
6.03	-0.0204995
6.04	-0.00225725
6.05	-0.0211125
6.06	0.0504442
6.07	-0.00371492
6.08	0.0395384
6.09	0.0226441
6.1	-0.0288441
6.11	0.00572411
6.12	-0.0892392
6.13	-0.0590752
6.14	-0.064392
6.15	-0.0730479
6.16	0.102028
6.17	0.259422
6.18	0.42187
6.19	0.24357
6.2	-0.0568038
6.21	-0.122256
6.22	-0.161675
6.23	-0.0613418
6.24	-0.0442601
6.25	-0.0583709
6.26	0.00100488
6.27	-0.0648768
6.28	-0.0110966
6.29	-0.0173882
6.3	-0.039333
6.31	0.0279235
6.32	-0.0241131
6.33	0.0370959
6.34	0.0350293
6.35	0.0173473
6.36	0.00349067
6.37	-0.0432642
6.38	0.0752564
6.39	0.163453
6.4	0.164359
6.41	0.257818
6.42	0.208773
6.43	0.22951
6.44	0.208613
6.45	0.120047
6.46	0.146066
6.47	0.0556909
6.48	0.054245
6.49	0.0367436
6.5	-0.0255562
6.51	0.023852
6.52	-0.0458938
6.53	-0.0205718
6.54	-0.0155997
6.55	-0.0539552
6.56	0.00824075
6.57	-0.0559657
6.58	-0.0244738
6.59	-0.0166804
6.6	-0.0590596
6.61	-0.00141634
6.62	-0.0669205
6.63	-0.033772
6.64	-0.0242412
6.65	-0.0603512
